,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,aggregation,percent_area
0,AODANA,2016-01-01 00:00:00,2020-12-31 23:00:00,60,63,-69,-64,min,1
1,AODANA,2016-01-01 00:00:00,2020-12-31 23:00:00,74,77,-15,-10,max,1
2,AODANA,2017-01-01 00:00:00,2021-12-31 23:00:00,83,86,-20,-15,mean,1
3,AODANA,2016-01-01 00:00:00,2020-12-31 23:00:00,69,84,-65,-40,min,25
4,AODANA,2019-01-01 00:00:00,2023-12-31 23:00:00,68,83,-40,-15,max,25
5,AODANA,2018-01-01 00:00:00,2022-12-31 23:00:00,65,80,-55,-30,mean,25
6,AODANA,2018-01-01 00:00:00,2022-12-31 23:00:00,64,89,-69,-39,min,50
7,AODANA,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-60,-30,max,50
8,AODANA,2019-01-01 00:00:00,2023-12-31 23:00:00,63,88,-69,-39,mean,50
9,AODANA,2019-01-01 00:00:00,2023-12-31 23:00:00,61,86,-69,-10,min,100
10,AODANA,2016-01-01 00:00:00,2020-12-31 23:00:00,62,87,-69,-10,max,100
11,AODANA,2019-01-01 00:00:00,2023-12-31 23:00:00,60,85,-69,-10,mean,100