variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,aggregation,time_span
AODANA,2016-01-01 00:00:00,2016-12-30 21:00:00,60,85,-69,-10,mean,1.0
AODANA,2017-01-01 00:00:00,2017-12-30 21:00:00,64,89,-69,-10,mean,1.0
AODANA,2019-01-01 00:00:00,2019-12-30 21:00:00,60,85,-69,-10,mean,1.0
AODANA,2020-01-01 00:00:00,2022-6-29 21:00:00,64,89,-69,-10,mean,2.5 
AODANA,2018-01-01 00:00:00,2020-6-29 21:00:00,60,85,-69,-10,mean,2.5
AODANA,2018-01-01 00:00:00,2020-6-29 21:00:00,64,89,-69,-10,mean,2.5
AODANA,2016-01-01 00:00:00,2020-12-30 21:00:00,60,85,-69,-10,mean,5.0
AODANA,2017-01-01 00:00:00,2021-12-30 21:00:00,64,89,-69,-10,mean,5.0
AODANA,2017-01-01 00:00:00,2021-12-30 21:00:00,60,85,-69,-10,mean,5.0
AODANA,2015-01-01 00:00:00,2024-12-30 21:00:00,64,89,-69,-10,mean,10.0
AODANA,2015-01-01 00:00:00,2024-12-30 21:00:00,60,85,-69,-10,mean,10.0
AODANA,2015-01-01 00:00:00,2024-12-30 21:00:00,64,89,-69,-10,mean,10.0